timestamps,TP9,AF7,AF8,TP10,Secondary Timestamp
1686015819.949,-23.438,-423.828,24.902,11.230,117584.370
1686015819.953,-29.785,-542.480,-38.574,4.883,117584.374
1686015819.957,-30.762,-934.082,-55.176,4.883,117584.378
1686015819.960,-20.020,-913.086,23.438,8.301,117584.381
1686015819.964,-21.973,-474.609,15.137,0.977,117584.385
1686015819.968,-32.227,-626.465,-72.754,-3.418,117584.389
1686015819.972,-37.109,-980.469,-33.691,-1.953,117584.393
1686015819.976,-30.762,-735.352,41.504,-5.371,117584.397
1686015819.980,-21.973,-443.848,-0.488,-1.953,117584.401
1686015819.998,-23.438,-545.410,-39.551,-6.348,117584.433
1686015820.002,-34.668,-839.844,-20.020,-21.484,117584.437
1686015820.006,-32.227,-941.895,0.000,-12.695,117584.440
1686015820.010,-24.414,-729.980,14.648,-3.418,117584.444
1686015820.014,-24.902,-686.035,-36.133,-10.742,117584.448
1686015820.018,-28.320,-974.121,-29.785,-6.348,117584.452
1686015820.021,-24.414,-1000.000,30.273,1.465,117584.456
1686015820.025,-17.578,-757.324,19.043,19.531,117584.460
1686015820.029,-21.484,-696.289,-24.902,34.180,117584.464
1686015820.033,-25.391,-901.367,40.039,38.574,117584.468
1686015820.037,-25.879,-640.625,40.527,37.109,117584.472
1686015820.041,-20.996,-541.992,-24.902,41.992,117584.476
1686015820.029,-13.184,-789.062,-35.645,55.176,117584.451
1686015820.033,-12.207,-683.105,-24.414,59.570,117584.455
1686015820.037,-21.484,-530.273,0.000,56.152,117584.459
1686015820.041,-23.926,-636.719,-13.672,59.570,117584.463
1686015820.045,-19.043,-879.395,-27.344,66.406,117584.467
1686015820.049,-17.578,-952.637,-21.484,59.570,117584.471
1686015820.052,-28.809,-947.754,-19.043,38.574,117584.475
1686015820.056,-35.156,-986.816,-12.207,31.738,117584.478
1686015820.060,-23.926,-911.621,53.711,45.410,117584.482
1686015820.064,-20.996,-629.883,48.828,49.805,117584.486
1686015820.068,-30.273,-473.633,-19.043,43.945,117584.490
1686015820.072,-36.133,-706.543,-45.898,40.039,117584.494
1686015820.073,-22.949,-963.379,0.488,51.270,117584.493
1686015820.077,-19.043,-683.105,59.082,49.805,117584.497
1686015820.081,-28.320,-507.812,5.371,37.598,117584.501
1686015820.085,-38.086,-749.512,-48.828,25.879,117584.505
1686015820.089,-36.621,-983.398,11.230,26.855,117584.509
1686015820.093,-28.809,-940.430,30.762,37.598,117584.513
1686015820.096,-34.180,-914.062,-12.207,24.902,117584.517
1686015820.100,-40.039,-969.727,-27.344,11.719,117584.521
1686015820.104,-37.598,-1000.000,-24.902,32.227,117584.525
1686015820.108,-28.320,-802.246,99.609,37.598,117584.529
1686015820.112,-21.484,-430.664,31.738,28.320,117584.533
1686015820.116,-23.438,-705.566,-63.965,23.438,117584.536
1686015820.119,-25.879,-763.672,-6.348,19.043,117584.541
1686015820.123,-15.137,-439.453,13.672,30.273,117584.544
1686015820.127,-10.254,-440.430,-14.160,37.109,117584.548
1686015820.131,-18.066,-812.988,-38.574,16.602,117584.552
1686015820.135,-27.832,-832.031,-25.879,10.254,117584.556
1686015820.139,-24.414,-818.848,-0.977,25.879,117584.560
1686015820.142,-19.531,-908.691,-26.367,37.598,117584.564
1686015820.146,-27.344,-971.680,-56.152,44.922,117584.568
1686015820.150,-34.668,-842.773,38.574,36.621,117584.572
1686015820.154,-28.320,-599.609,9.277,26.855,117584.576
1686015820.158,-14.648,-754.883,-33.691,30.273,117584.580
1686015820.162,-11.230,-909.668,31.250,28.320,117584.583
1686015820.162,-20.020,-650.391,18.066,15.625,117584.583
1686015820.166,-21.484,-518.066,-22.461,11.230,117584.587
1686015820.170,-8.789,-743.164,-20.020,24.902,117584.591
1686015820.174,-10.742,-722.656,4.883,24.414,117584.595
1686015820.178,-19.531,-698.730,-39.551,7.324,117584.599
1686015820.182,-23.926,-971.191,-30.762,0.977,117584.603
1686015820.185,-25.391,-991.211,-18.066,3.418,117584.607
1686015820.189,-21.484,-995.117,-10.742,12.207,117584.611
1686015820.193,-22.949,-763.672,60.059,0.000,117584.615
1686015820.197,-31.250,-580.566,-4.395,-13.184,117584.619
1686015820.201,-26.855,-790.527,-34.668,-14.160,117584.623
1686015820.205,-10.254,-623.535,7.324,-7.812,117584.626
1686015820.210,-11.719,-549.316,-13.184,-10.254,117584.641
1686015820.214,-27.832,-899.902,-40.039,-20.996,117584.645
1686015820.218,-23.926,-1000.000,-48.828,-11.230,117584.649
1686015820.222,-16.113,-653.320,12.695,1.465,117584.653
1686015820.226,-17.090,-470.703,-2.930,2.441,117584.657
1686015820.230,-17.578,-867.676,-52.734,-4.395,117584.661
1686015820.233,-14.160,-1000.000,-34.180,-1.465,117584.665
1686015820.237,-6.348,-765.625,73.242,10.254,117584.669
1686015820.241,-1.465,-419.434,14.160,11.230,117584.673
1686015820.245,-11.719,-571.289,-48.340,-8.301,117584.677
1686015820.249,-20.508,-836.426,28.809,-19.531,117584.680
1686015820.253,-13.672,-629.883,22.949,-13.672,117584.684
1686015820.253,-13.672,-440.918,-25.391,-9.277,117584.703
1686015820.257,-25.879,-627.930,-43.457,-13.672,117584.707
1686015820.261,-32.227,-911.621,-26.855,-19.043,117584.711
1686015820.265,-29.785,-918.945,-9.277,-11.719,117584.715
1686015820.269,-23.438,-776.367,4.395,-0.977,117584.719
1686015820.273,-27.344,-878.418,-30.762,-8.789,117584.723
1686015820.276,-41.504,-1000.000,-25.391,-13.672,117584.727
1686015820.280,-44.922,-875.488,97.656,-8.301,117584.731
1686015820.284,-34.668,-563.477,35.645,-5.859,117584.735
1686015820.288,-29.785,-688.965,-34.668,-12.207,117584.738
1686015820.292,-36.621,-753.418,20.996,-18.555,117584.742
1686015820.296,-29.785,-581.055,9.277,-18.555,117584.746
1686015820.313,-16.113,-604.492,-18.066,-4.883,117584.735
1686015820.317,-16.113,-814.941,-49.316,-6.836,117584.739
1686015820.321,-24.414,-755.859,-17.090,-19.531,117584.743
1686015820.325,-29.297,-596.680,3.906,-15.137,117584.747
1686015820.329,-22.949,-627.441,-21.973,-8.789,117584.751
1686015820.333,-19.531,-882.324,-38.086,-0.977,117584.755
1686015820.336,-30.762,-1000.000,-28.809,-9.277,117584.758
1686015820.340,-46.387,-906.738,2.441,-20.996,117584.762
1686015820.344,-45.410,-759.277,-13.184,-19.531,117584.766
1686015820.348,-27.344,-930.664,-13.184,-11.230,117584.770
1686015820.352,-27.344,-796.875,19.531,-19.531,117584.774
1686015820.356,-41.016,-582.520,-8.789,-31.250,117584.778
1686015820.357,-43.945,-753.418,-51.270,-26.367,117584.779
1686015820.361,-33.691,-967.773,-9.766,-11.230,117584.783
1686015820.365,-31.250,-750.488,65.430,-10.742,117584.787
1686015820.369,-38.086,-589.844,5.371,-26.367,117584.790
1686015820.373,-36.621,-796.387,-27.832,-25.879,117584.794
1686015820.377,-28.809,-966.797,0.977,-16.113,117584.798
1686015820.380,-25.879,-940.918,1.953,-18.555,117584.802
1686015820.384,-21.973,-859.375,10.254,-20.020,117584.806
1686015820.388,-20.508,-909.668,-29.297,-18.066,117584.810
1686015820.392,-18.555,-1000.000,-6.836,-4.883,117584.814
1686015820.396,-13.672,-751.465,97.168,-1.465,117584.818
1686015820.400,-20.020,-455.566,9.766,-21.484,117584.822
1686015820.404,-29.785,-799.805,-49.316,-29.785,117584.852
1686015820.408,-23.438,-761.230,10.742,-21.973,117584.856
1686015820.412,-18.066,-415.039,10.742,-17.578,117584.860
1686015820.416,-17.090,-460.938,-33.203,-20.508,117584.864
1686015820.420,-22.949,-848.145,-47.852,-25.879,117584.868
1686015820.424,-34.180,-1000.000,-21.484,-26.367,117584.872
1686015820.427,-32.227,-858.887,11.719,-20.508,117584.875
1686015820.431,-28.809,-621.094,-14.648,-25.391,117584.879
1686015820.435,-37.109,-905.273,-50.781,-33.691,117584.883
1686015820.439,-41.016,-866.211,29.785,-36.621,117584.887
1686015820.443,-30.762,-599.121,16.113,-36.133,117584.891
1686015820.447,-31.738,-796.875,-35.156,-36.133,117584.895
1686015820.447,-40.039,-931.152,31.738,-34.668,117584.868
1686015820.451,-39.551,-721.680,19.531,-32.715,117584.872
1686015820.455,-33.203,-597.168,-23.926,-26.855,117584.876
1686015820.459,-26.855,-726.074,-18.066,-17.090,117584.880
1686015820.463,-34.668,-910.156,-35.645,-27.832,117584.884
1686015820.467,-46.387,-993.164,-34.668,-32.715,117584.888
1686015820.470,-38.574,-990.723,13.184,-20.508,117584.892
1686015820.474,-33.203,-933.594,-6.348,-21.484,117584.895
1686015820.478,-23.926,-991.211,-6.348,-6.836,117584.899
1686015820.482,-21.973,-804.199,63.965,-25.391,117584.903
1686015820.486,-39.062,-535.156,14.648,-54.688,117584.907
1686015820.490,-34.180,-713.379,-22.949,-30.762,117584.911
1686015820.495,-25.391,-659.180,5.859,-16.113,117584.920
1686015820.499,-20.508,-645.996,-16.113,-11.230,117584.924
1686015820.503,-15.625,-949.219,-33.203,-9.277,117584.928
